locality,unified_locality
gent,gent
denderleeuw,denderleeuw
welle,wellen
woluwe-saint-lambert,woluwe-saint-lambert
herstal,herstal
antwerpen,antwerpen
deurne (),deurne
antwerpen,antwerpen
geraardsbergen,geraardsbergen
maarkedal,maarkedal
duffel,duffel
meldert (),meldert
ganshoren,ganshoren
antwerpen,antwerpen
herentals,herentals
léglise,léglise
ixelles,ixelles
leuven,leuven
astene,astene
woluwe-saint-pierre,woluwe-saint-pierre
berchem,merchtem
lokeren,lokeren
nieuwpoort,nieuwpoort
beerse,beerse
geel,geel
gent,gent
berchem,merchtem
berchem,merchtem
schaarbeek,schaarbeek
evergem,evergem
durbuy,durbuy
halle (brabant),halle
kraainem,kraainem
woluwe-saint-pierre,woluwe-saint-pierre
turnhout,turnhout
vaudignies,vaudignies
roeselare,roeselare
torhout,torhout
ans,ans
ixelles,ixelles
zottegem,zottegem
gent,gent
mechelen,mechelen
geel,geel
turnhout,turnhout
la louvière,la louvière
westmeerbeek,westmeerbeek
gent,gent
blankenberge,blankenberge
stekene,stekene
ekeren,ekeren
evere,evere
bruxelles,bruxelles
sint-katelijne-waver,sint-katelijne-waver
tollembeek,tollembeek
duffel,duffel
wachtebeke,wachtebeke
woluwe-saint-pierre,woluwe-saint-pierre
koksijde,koksijde
ixelles,ixelles
heist-op-den-berg,heist-op-den-berg
woluwe-saint-pierre,woluwe-saint-pierre
uccle,uccle
chaudfontaine,chaudfontaine
jemeppe-sur-meuse,jemeppe-sur-sambre
willebroek,willebroek
genk,genk
woluwe-saint-pierre,woluwe-saint-pierre
koekelberg,koekelberg
deurne,veurne
rixensart,rixensart
aalter,aalter
brasschaat,brasschaat
temse,temse
brecht,brecht
itegem,ichtegem
oostende,oostende
antwerpen,antwerpen
antwerpen,antwerpen
sint-niklaas,sint-niklaas
antwerpen wilrijk,antwerpen wilrijk
zoersel,zoersel
ekeren,ekeren
ternat,ternat
aalst,aalst
aalst moorsel,aalst moorsel
wetteren,wetteren
molenbeek-saint-jean,molenbeek-saint-jean
bouillon corbion,bouillon corbion
hamme (),hamme
seraing jemeppesur-meuse,seraing jemeppesur-meuse
ronse,ronse
waremme,waremme
anderlecht,anderlecht
anderlecht,anderlecht
anderlecht,anderlecht
aalst,aalst
aalst,aalst
knokke-heist,knokke-heist
ronse,ronse
sprimont,sprimont
seraing,seraing
ieper,ieper
genk,genk
borgerhout,borgerhout
schoten,schoten
geraardsbergen,geraardsbergen
geraardsbergen,geraardsbergen
deurne,veurne
antwerpen,antwerpen
geraardsbergen,geraardsbergen
antwerpen,antwerpen
antwerpen,antwerpen
berchem,merchtem
laeken,laeken
sint-katelijne-waver,sint-katelijne-waver
mortsel,mortsel
saint-nicolas,saint-nicolas
oupeye,oupeye
eeklo,eeklo
uccle,uccle
wemmel,wemmel
antwerpen,antwerpen
deurne,veurne
hechtel-eksel,hechtel-eksel
izegem,izegem
herzele,herzele
ixelles,ixelles
oostende,oostende
eeklo,eeklo
auderghem,auderghem
geraardsbergen,geraardsbergen
woluwe-saint-pierre,woluwe-saint-pierre
berlaar,berlaar
puurs-sint-amands,puurs-sint-amands
sijsele,sijsele
heist-op-den-berg itegem,heist-op-den-berg
boom,boom
blankenberge,blankenberge
juprelle,juprelle
rhode-saint-genèse,rhode-saint-genèse
jette,jette
saint-gilles,saint-gilles
wezembeek-oppem,wezembeek-oppem
turnhout,turnhout
turnhout,turnhout
waterloo,waterloo
sint-katelijne-waver,sint-katelijne-waver
hombeek,holsbeek
stekene,stekene
woluwe-saint-lambert,woluwe-saint-lambert
mechelen,mechelen
genval,genval
aubange athus,aubange athus
woluwe-saint-pierre,woluwe-saint-pierre
sint-jans-molenbeek,sint-jans-molenbeek
berchem,merchtem
hasselt,hasselt
blankenberge,blankenberge
ronse,ronse
kapelle-op-den-bos,kapelle-op-den-bos
mechelen,mechelen
stekene,stekene
boortmeerbeek,boortmeerbeek
wondelgem,wondelgem
bonheiden,bonheiden
harelbeke,harelbeke
ninove,ninove
schaerbeek,schaerbeek
lierde,lierde
gent,gent
evergem,evergem
laeken,laeken
oostende,oostende
jette,jette
woluwe-saint-lambert,woluwe-saint-lambert
diksmuide,diksmuide
ixelles,ixelles
deinze,deinze
uccle,uccle
heist-op-den-berg,heist-op-den-berg
hulshout,hulshout
kraainem,kraainem
seraing,seraing
